CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1378,EX RUKMALGAMA,"No. 33A,107/108,Rukmalgama,Pannipitiya.",9.792227,80.075284
1369,EX PIRIVENA JUNCTION,"No. 567,Pirivena Junction,Maharagama Road,Boralasgamuwa.",6.8419428,79.9076505
1469,FC WELIGAMA,"No. 454,Old Galle Road,Weligama.",5.97501,80.42968
1370,EX HIKKADUWA,"No. 162 Galle Road,Hikkaduwa",6.1202915,80.1156869
1372,EX DERANIYAGALA,"No. 58, Dehiowita Road,Deraniyagala",6.9363556,80.3343443
1366,EX HABARADUWA,"Dassana Building,Galle Road,Habaraduwa.",6.837607,79.867514
1381,EX HABARANA,"No. 72,Trincomalee  Road,Habarana.",8.0398876,80.7554997
1371,EX WATTEGAMA,"No. 31, Matale Road, Wattegama",6.7989,81.4808
1474,FC GANEMULLA,"No. 367, Kadawatha Road, Ganemulla",7.0603137,79.9626773
1148,FC JAFFNA,"No.420, Hospital Road,Jaffna.",9.666103,80.012594
1376,EX VEYANGODA,"No. 14, Good Shed Road, Veyangoda.",7.1534492,80.0602466
1468,FC EKALA,"No. 100, Sanasa Building,Minuwangoda Road,Ekala.",7.1043562,79.9103677
1471,FC COTA ROAD,"No. 260, N.M Perera Mawatha, Cota Road, Colombo 08",6.934744,79.842725
1374,EX AMBEPUSSA,"No. 365, Colombo Road,Ambepussa.",7.2413572,80.2111758
1377,EX IBBAGAMUWA,"No. 5, Dambulla Road, Ibbagamuwa.",7.5393521,80.4405948
1380,EX POKUNUWITA,"No.07, Colombo Road, Pokunuwita",6.7265578,80.033746
1447,FC KOTTAWA 02,"No. 867, High level Road,Kottawa.",6.8409162,79.96593
1477,FC MARINE DRIVE,"No. 27,  17th Lane,Marine Drive,Colombo 03.",7.294566,80.560479
1382,EX ARANGALA,"No. 462/2, Arangala Junction,Hokandara",6.8911631,79.9619738
1470,FC WELLAWAYA,"No. 32 Hambanthota Road,Wellawaya.",6.7317804,81.1018359
1368,EX GODAKAWELA,"Main Street, Godakawela.",6.5063,80.6434
1384,EX DANDUGAMA,"No. 366, Colombo Road,Dandugama,Ja-Ela.",7.0744,79.8919
1478,FC KESELWATTE,"No.29, Colombo Road,Keselwatta",7.091332,79.996565
1383,EX MADAWACHCHIYA,"No. 102, Jaffna Road,Medawachchiya.",8.5536287,80.485686
1360,EX GELIOYA,"No,35/D, Peradeniya Road,Gelioya.",7.542915,81.374525
1476,FC HORANA2,"No 135, Anguruwathota Road,Horana",6.7062169,80.0689143
1386,EX RAMBUKKANA,"No 57, Mawanella Road,Rambukkana.",7.3266342,80.4025509
1385,EX DENIYAYA,No. 04 Pallegama Road Deniyaya.,6.345632,80.5491829
1475,FC MATHUGAMA,"No. 93, Kalutara Road,Mathugama",6.489959,80.095032
1387,EX KATUGODA,"No. 1/389, Matara Road,Katugoda, Galle",6.033562,80.236867
1479,FC THALAHENA,"No. 723, Thalangama North,Thalahena",6.9060361,79.9263326
1484,FC MARINE CITY,"No 46, Station Road,Dehiwala.",6.8316101,79.8635
1480,FC CHILLAW2,"No. 98, Colombo Road,Chillaw.",7.256149,79.855753
1388,EX KALUTARA CENTRAL,"No 235,Central Junction,Nagoda, Kalutara South.",6.561679,79.981573
1481,FC MATALE2,"No. 666,Trincomalee street,Matale",7.4698,80.6217
1392,EX GONAPOLA,"No 105, Horana Road, Gonapola",6.7571552,80.0141006
1389,EX GREEN ROAD,"No.138/140 Greens Road, Negombo.",7.208614,79.840144
1391,EX NATTANDIYA,"Kuliyapitiya Road, Naththandiya",7.397316,80.037741
